teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;KOBW;1;BORYS;Piotr;Mężczyzna;PORP;51.393104 16.187353
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;KOBW;2;CZERNOW;Zofia;Kobieta;PORP;50.839389 15.730401
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;KOBW;3;KROPIWNICKI;Robert;Mężczyzna;PORP;51.194382 16.154907
020702;2;Kamienna Góra;gw;50.7542435,16.019381;1;Legnica;KOBW;4;KRAWCZYK;Iwona Małgorzata;Kobieta;PORP;50.751733 16.019313
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;KOBW;5;DROZD;Ewa;Kobieta;PORP;51.670985 16.053807
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;KOBW;6;DUDKOWIAK;Jarosław Ryszard;Mężczyzna;PORP;51.676070 16.046161
022502;1;Zgorzelec;gm;51.1517745,15.017122;1;Legnica;KOBW;7;BARANOWSKA;Dorota;Kobieta;PORP;51.150745 15.020457
020501;1;Jawor;gm;51.067685,16.185091;1;Legnica;KOBW;8;BANDER;Michał;Mężczyzna;PORP;51.067456 16.182783
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;KOBW;9;SIKORA;Konrad Jerzy;Mężczyzna;Nowoczesna;50.860931 15.729217
021001;1;Lubań;gm;51.114691,15.2808625;1;Legnica;KOBW;10;ROWIŃSKI;Konrad Antoni;Mężczyzna;PORP;51.113555 15.282384
021601;3;Chocianów;gmw;51.421964,15.9622825;1;Legnica;KOBW;11;PICHAŁA;Anna Eugenia;Kobieta;BEZP;51.419562 15.957941
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;KOBW;12;DOWHAŃ-DOMAŃSKA;Ksenia Anna;Kobieta;PORP;51.399561 16.198948
021601;3;Chocianów;gmw;51.421964,15.9622825;1;Legnica;KOBW;13;ROLSKA;Beata Edyta;Kobieta;BEZP;51.423257 15.965173
021203;3;Lwówek Śląski;gmw;51.121997,15.602352;1;Legnica;KOBW;14;GRZEŚKÓW;Zbigniew;Mężczyzna;PORP;51.123328 15.601852
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;KOBW;15;BARCIK;Krystyna Henryka;Kobieta;PORP;51.214123 16.153965
020101;1;Bolesławiec;gm;51.262169,15.55163;1;Legnica;KOBW;16;MAGRYŚ;Urszula;Kobieta;PORP;51.262287 15.558292
022604;3;Świerzawa;gmw;51.0153275,15.8612555;1;Legnica;KOBW;17;JAGIEŁŁO;Jakub Krzysztof;Mężczyzna;BEZP;51.017848 15.860312
021102;2;Lubin;gw;51.3711455,16.179661;1;Legnica;KOBW;18;SKÓRZEWSKA;Barbara Anna;Kobieta;BEZP;51.369400 16.176439
020906;2;Miłkowice;gw;51.251769,16.103223;1;Legnica;KOBW;19;STRĄCZEK;Joanna Dorota;Kobieta;BEZP;51.249955 16.102571
021003;3;Leśna;gmw;51.0000015,15.282006;1;Legnica;KOBW;20;SURWIŁO;Małgorzata Joanna;Kobieta;Nowoczesna;50.997250 15.282040
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;KOBW;21;BROK;Anna;Kobieta;PORP;51.675371 16.048691
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;KOBW;22;ZIELIŃSKI;Grzegorz;Mężczyzna;Nowoczesna;51.404977 16.201726
020604;1;Szklarska Poręba;gm;50.814401,15.466423;1;Legnica;KOBW;23;GRAF;Mirosław;Mężczyzna;PORP;50.814886 15.467916
020105;2;Osiecznica;gw;51.3946915,15.4228505;1;Legnica;KOBW;24;BARTKOWIAK;Włodzimierz;Mężczyzna;Zieloni;51.395835 15.420280
146505;1;Mst Warszawa (a);mm;52.233002,21.0614195;2;Wałbrzych;KOBW;1;SIEMONIAK;Tomasz;Mężczyzna;PORP;52.244553 21.043722
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;KOBW;2;MRZYGŁOCKA;Izabela Katarzyna;Kobieta;PORP;50.774852 16.298491
020804;1;Nowa Ruda;gm;50.5735,16.519743;2;Wałbrzych;KOBW;3;WIELICHOWSKA;Monika;Kobieta;PORP;50.578033 16.516740
