teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
146516;1;Mst Warszawa (a);mm;52.233002,21.0614195;1;Legnica;SLD;1;SEKUŁA-SZMAJDZIŃSKA;Małgorzata Helena;Kobieta;SLD;52.230915 21.013338
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;SLD;2;OBAZ;Robert Marcin;Mężczyzna;Wiosna;50.862284 15.726860
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;SLD;3;FILACZYŃSKA;Kaja;Kobieta;LRazem;51.205821 16.153643
021102;2;Lubin;gw;51.3711455,16.179661;1;Legnica;SLD;4;ZBRZYZNY;Ryszard;Mężczyzna;SLD;51.364453 16.178987
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;SLD;5;PIĄTEK;Damian;Mężczyzna;SLD;51.668871 16.049335
026401;1;Wrocław (a);mm;51.1261165,16.991816;2;Wałbrzych;SLD;1;DYDUCH;Marek;Mężczyzna;SLD;51.108688 16.983893
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;SLD;2;KOTARBA;Mariusz;Mężczyzna;Wiosna;50.784012 16.287936
021901;1;Świdnica;gm;50.840617,16.492523;2;Wałbrzych;SLD;3;LECH;Kornelia Joanna;Kobieta;SLD;50.843547 16.493497
020802;1;Kłodzko;gm;50.433701,16.6490345;2;Wałbrzych;SLD;4;ŁĄCKI;Adam Edward;Mężczyzna;SLD;50.436035 16.648461
020811;2;Nowa Ruda;gw;50.5890215,16.5072725;2;Wałbrzych;SLD;5;MUSIAŁEK;Małgorzata Aleksandra;Kobieta;BEZP;50.591822 16.506204
146506;1;Mst Warszawa (a);mm;52.233002,21.0614195;3;Wrocław;SLD;1;ŚMISZEK;Krzysztof Jan;Mężczyzna;Wiosna;52.197182 21.060280
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;SLD;2;STOŻEK;Marta Magdalena;Kobieta;LRazem;51.126581 16.977962
021401;1;Oleśnica;gm;51.210509,17.3860435;3;Wrocław;SLD;3;SIKORA;Arkadiusz;Mężczyzna;SLD;51.213380 17.382385
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;SLD;4;LUBINIECKA-RÓŻYŁO;Katarzyna Elżbieta;Kobieta;BEZP;51.126461 17.014194
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;SLD;5;AUGUSTYŃSKI;Iwo Piotr;Mężczyzna;LRazem;51.108266 17.000108
143412;3;Wołomin;gmw;52.3493975,21.2677975;4;Bydgoszcz;SLD;1;GAWKOWSKI;Krzysztof Kamil;Mężczyzna;Wiosna;52.357167 21.263428
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;SLD;2;SZOPIŃSKI;Jan Józef;Mężczyzna;SLD;53.116586 18.041701
040707;3;Pakość;gmw;52.8121105,18.1015965;4;Bydgoszcz;SLD;3;WYSOCKI;Michał;Mężczyzna;LRazem;52.812847 18.102742
301504;3;Nowy Tomyśl;gmw;52.3118025,16.154488;4;Bydgoszcz;SLD;4;NOWAK;Izabela Anna;Kobieta;BEZP;52.315633 16.159185
040701;1;Inowrocław;gm;52.781695,18.250197;4;Bydgoszcz;SLD;5;LUDWISIAK-KAWECKA;Anna Magdalena;Kobieta;BEZP;52.783860 18.258783
141804;3;Piaseczno;gmw;52.049303,20.999221;5;Toruń;SLD;1;KWIATKOWSKI;Robert Artur;Mężczyzna;BEZP;52.049357 21.000573
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;2;SCHEURING-WIELGUS;Joanna Izabela;Kobieta;BEZP;53.000484 18.608889
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;3;ROZPŁOCH;Marek Władysław;Mężczyzna;LRazem;53.017488 18.611831
046401;1;Włocławek;mm;52.6653805,19.060831;5;Toruń;SLD;4;KOWAL;Piotr;Mężczyzna;SLD;52.671272 19.058796
041509;2;Zławieś Wielka;gw;53.099382,18.334662;5;Toruń;SLD;5;JANISZEWSKA;Kazimiera Janina;Kobieta;BEZP;53.099679 18.338365
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;1;CZERNIAK;Jacek Andrzej;Mężczyzna;SLD;51.218167 22.577411
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;2;DŁUGOSZ;Magdalena Anna;Kobieta;LRazem;51.198019 22.561618
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;3;KITLIŃSKI;Tomasz;Mężczyzna;BEZP;51.203917 22.541846
